Number,Konkani Word in Devnagiri,Konkani word in English alphabet,English Meaning,Context/usage in a sentence,Does the Devnagiri Spelling need correction? (Y/N),Does the meaning need correction? (Y/N),Corrected Devnagiri Spelling by user X,Corrected Devnagiri Spelling by user Y,Corrected English meaning by user X,Corrected English meaning by user Y
173,केदन केदना,,"temporary, occasionally",,,,,,,
174,अन्जीर,,fig,,,,,,,
175,अण्णा,,elder brother; brother (elder); Older brother,,,,,,,
176,अन्पत्य,,hurry,,,,,,,
177,अन्तरिक्ष,,space,,,,,,,
178,अण्टु,,sticky,,,,,,,
179,अणु,,atom,,,,,,,
180,अनुकूल,,facility / favourable,,,,,,,
181,अनुमति,,approval,,,,,,,
182,अनुवाद,,translate,,,,,,,
183,अपराधु,,crime,,,,,,,
184,अपशकुन,,bad omen,,,,,,,
185,आप्पयि,,call,,,,,,,
186,एप्रिल्,,april,,,,,,,
187,अप्रूप,,rare,,,,,,,
188,अपूर्व,,immense,,,,,,,
189,अर्दे,,half,,,,,,,
190,अर्ध,,half,,,,,,,
191,अर्पण,,offering,,,,,,,
192,अर्सळि,,copper drum to store grains,,,,,,,
193,"अर्थ / अर्थू, बुद्वंतू",,meaning,,,,,,,
194,असामान्य,,extra-ordinary,,,,,,,
195,अशाण,,this way,,,,,,,
196,अश्शी,,like this; this way,,,,,,,
197,अश्वथा रूकु,,peepal tree,,,,,,,
198,अस्थी,,"skeleton, bones",,,,,,,
199,अती,,extreme,,,,,,,
200,अतिथि,,guest,,,,,,,
201,अट्टी,,pile / bundle,,,,,,,
202,अट्टो,,loft,,,,,,,
203,अत्यंत,,maximum,,,,,,,
204,औंगाले,,cloth,,,,,,,
205,औंगले,,clothes,,,,,,,
206,औंगोले,,cloth,,,,,,,
207,औनास,,pineapple,,,,,,,
208,औनस,,pine apple,,,,,,,
209,अवकाश,,chance,,,,,,,
210,अवमान,,insult,,,,,,,
211,अवस्त,,condition,,,,,,,
212,अवस्थ,,condition,,,,,,,
213,अव्नास,,pinapple,,,,,,,
214,अव्तारु,,incarnation,,,,,,,
215,बॅत,,stick,,,,,,,
216,ब.द्द.,,TRUE,,,,,,,
217,बंद,,close,,,,,,,
218,बंयि,,well (water well),,,,,,,
219,बाॅंद,,okra,,,,,,,
220,बाॅब्बो,,frog,,,,,,,
221,बाॅत,,stick,,,,,,,
222,बांडि,,carriage,,,,,,,
223,बांदुचे,,tie,,,,,,,
224,बांग्डो,,mackerel,,,,,,,
225,बाबु,,baby,,,,,,,
226,बाग्गूनु,,bent,,,,,,,
227,बागिल,baagil,door; door as in main door,,,,,,,
228,बाग्शि,,bend,,,,,,,
229,बाग्सुचे,,bending,,,,,,,
230,बाइल,,wife,,,,,,,
231,बाइल मनिशि,,woman,,,,,,,
232,बाइरि,,outside,,,,,,,
233,बाइसोर्चे,,getting ready to go out,,,,,,,
234,बाल,,tail,,,,,,,
235,बालक,,boy,,,,,,,
236,बाळि,,bucket,,,,,,,
237,बाम्मुणु,,husband,,,,,,,
238,बाण,,big copper vessel in the bathroom to store water.,,,,,,,
239,बाण्शिरे,,kitchen towel used while cooking,,,,,,,
240,बापमा,,grandmother (paternal),,,,,,,
241,बापम्म,,fathers mother,,,,,,,
242,बापम्मा,,grandmother,,,,,,,
243,बाप्प,,uncle (fathers younger brother); paternal uncle and mothers sisters husband; paternal uncle who is younger to father,,,,,,,
244,बारा,,twelve,,,,,,,
245,बाट्लि,,bottle,,,,,,,
246,बाव्लि,,bat,,,,,,,
247,बायिं,,well,,,,,,,
248,बायलं,,wife,,,,,,,
249,बच्चांग,,watermelon,,,,,,,
250,बदलावणे,,change,,,,,,,
251,बद्द,,truth,,,,,,,
252,बड्डि,,stick,,,,,,,
253,बोड्डू,,blunt,,,,,,,
254,बदी,,side,,,,,,,
255,बैलु,,bull,,,,,,,
256,बैरासु,,bath towel,,,,,,,
257,भैरासू,,towel or a piece of cloth used for bathing; bath towel,,,,,,,
258,बैस,,sit,,,,,,,
259,बस्ता,,sit,,,,,,,
260,भजन,,devotional songs,,,,,,,
261,बाळंतिराॅ,,delivery (of baby),,,,,,,
262,बळगु,,group of close people,,,,,,,
263,बळन्ति,,woman who has delivered a child,,,,,,,
264,बळन्तिरो,,the process of child delivery,,,,,,,
265,बळप,,slate,,,,,,,
266,बलें,,net (like fish net),,,,,,,
267,बाम्मुणू,,husband,,,,,,,
268,बण्णु,,colour; color,,,,,,,
269,बण्शिरे आंग्टि,,waste cloth/towel (used in kitchen),,,,,,,
270,बाप्पा,,uncle (mothers sisters husband); Addressing Elders Respectfully,,,,,,,
271,बाप्पुसू,,father(parents),,,,,,,
272,बरगालु,,famine,,,,,,,
273,बरै,,write,,,,,,,
274,बरैत,,write,,,,,,,
275,बरप,,handwriting,,,,,,,
276,बरे,,good,,,,,,,
277,बस्कारयि,,attack (hit),,,,,,,
278,बस्करयि,,whack,,,,,,,
279,वाॅटाणो,,greenpeas,,,,,,,
280,बटाट्या आंबाडो,,deep fried mashed potatoes,,,,,,,
281,बटाटो,,potato,,,,,,,
282,बव्डे,,lid with a handle on the top,,,,,,,
283,बॅब्बो,,frog,,,,,,,
284,बॅजारू,,sadness; sorrow,,,,,,,
285,बेळ्शलेलें,,stale,,,,,,,
286,पाळं/मूळं,,root,,,,,,,
287,भांगर,,gold,,,,,,,
288,भाग्सुचे,,dividing,,,,,,,
289,भाग्य,,fortune,,,,,,,
290,भायरी,,outside,,,,,,,
291,भाइरि,,out,,,,,,,
292,भाज्जुचे,,to roast,,,,,,,
293,भारत,,India,,,,,,,
294,भर्सुचे,,mix,,,,,,,
295,भास,,language,,,,,,,
296,भात,,paddy,,,,,,,
297,भावंड,,siblings,,,,,,,
298,भावजि,,brother in law; sisters husband,,,,,,,
299,भावज़,,brothers wife,,,,,,,
300,भावु,,brother,,,,,,,
301,भाच्ची,,niece (sisters daughter),,,,,,,
302,भाच्चो,,nephew (sisters son),,,,,,,
303,भैणि,,sister,,,,,,,
304,भंयं,,fear,,,,,,,
305,भैयं,,fear,,,,,,,
306,भाय्यो,,husbands elder brother,,,,,,,
307,भक्थि,,devotion,,,,,,,
308,भांगरं,,gold,,,,,,,
309,भर्कुचे,,clawing,,,,,,,
310,भर्पुर,,profuse,,,,,,,
311,भट्टमामु,,priest,,,,,,,
312,भट्टु,,priest,,,,,,,
313,भावू,,brother,,,,,,,
314,भयंकर,,horrible,,,,,,,
315,भॅंडं,,ladies finger,,,,,,,
316,भेत्चे,,crack,,,,,,,
317,भेथ्ला,,crack,,,,,,,
318,भेथ्थुचे,,breaking,,,,,,,
319,भेतुचे,,crush,,,,,,,
320,भेतुनु गेल्लेले,,broken,,,,,,,
321,भिकारि,,beggar,,,,,,,
322,भिश्टाचे,,scolding,,,,,,,
323,भिश्टाइ,,scold,,,,,,,
324,भित्तरि,,inside; in,,,,,,,
325,भोंवंचे,,roaming,,,,,,,
326,भोंक,,bark,,,,,,,
327,भोंक्चे,,barking,,,,,,,
328,भोंव,,travel; roam,,,,,,,
329,भोंव्चे,,roaming,,,,,,,
330,रंदनं,,big idly (where you pour all the batter in a vessel at a time and steam),,,,,,,
331,भोर्चे,,filling,,,,,,,
332,भ्रांती,,notion,,,,,,,
333,ब्रम्होपदेश,,ceremony of initiation to bachelorhood,,,,,,,
334,भुट्टि,,basket,,,,,,,
335,भूक,,hunger,,,,,,,
336,भूमि,,earth,,,,,,,
337,भूत,,ghost,,,,,,,
338,भोवी,,eyebrow; eye brows,,,,,,,
339,भुंगाॅ,,beatle,,,,,,,
340,भाणं,,barrel (big earthen container),,,,,,,
341,बि,,seed,,,,,,,
342,बिब्बो,,cashewnut,,,,,,,
343,बिगातु,,key,,,,,,,
344,बी,,seed,,,,,,,
345,बीग,,lock,,,,,,,
346,बीगु,,tight,,,,,,,
347,बीळं,,hole,,,,,,,
348,बिक्कंड,Bikkand; bikkanD,jackfruit seed; Jackfruit seed; for jackfruit seed,,,,,,,
349,बिक्कुंडु,,bedbug; bed bug,,,,,,,
350,बिल्लु बाण,,bow and arrow,,,,,,,
351,बिमा,,insurance,,,,,,,
352,भिष्टाई,,scold,,,,,,,
353,बित्तरि,,inside,,,,,,,
354,बाॅटं,,fingers; finger,,,,,,,
355,बाॅंडो,,tender coconut,,,,,,,
356,बाॅब,,shout,,,,,,,
357,बाॅड,,"skull, head",,,,,,,
358,बाॅड्डो,,stick,,,,,,,
359,बोधु,,conciousness,,,,,,,
360,बाॅग्गो,,male dod,,,,,,,
361,बोग्गि,,female dod,,,,,,,
362,बोक्कडि,,goat,,,,,,,
363,बोक्को,,boils,,,,,,,
364,बोक्कोडि,,goat (female),,,,,,,
365,बोक्कोडु,,goat (male),,,,,,,
366,बोळु,Bolu,slime; clean; bald,kaNi,,,,,,
367,बोंब्ली,,naval,,,,,,,
368,बोम्बुलि,,naval; navel,,,,,,,
369,बाॅंबे/बाॉंमें,,doll,,,,,,,
370,बोरोचे,,writing,,,,,,,
371,बोरोडू,,mite,,,,,,,
372,बोस्चे,,sitting,,,,,,,
373,बाॅब मारी,,shout,,,,,,,
374,ब्रस्तारू,,thursday,,,,,,,
375,बुदंतु,,smart,,,,,,,
376,बुड्चे,,drowning,,,,,,,
377,बुधवारु,,wednesday,,,,,,,
378,बुधोंत,,wise,,,,,,,
379,बुधोंतु,,clever,,,,,,,
380,बुड्कुलो,,pot used to cook rice,,,,,,,
381,बुड्कुळो,,pot,,,,,,,
382,बुदोंतु,,smart,,,,,,,
383,बुक्कुल,,cat (male),,,,,,,
384,बुर्डो,,bulb,,,,,,,
385,बुर्कुळो,,pot,,,,,,,
386,बुर्नास,,an useless person,,,,,,,
387,बुट्टि,,basket,,,,,,,
388,बूच,,cork,,,,,,,
389,बूचि,,cork; lid,,,,,,,
390,बूक,,book,,,,,,,
391,भूकं,,hunger,,,,,,,
392,बॅंक,,bank,,,,,,,
393,चंssदी,,beautiful girl,,,,,,,
394,चंssदू,,beautiful boy,,,,,,,
395,चा,,tea,,,,,,,
396,चॅडो,,servent boy; servant,,,,,,,
397,चंद,,beautiful,,,,,,,
398,चेंडू,,ball,,,,,,,
399,चंद्रु,,moon,,,,,,,
400,चांग,,good,,,,,,,
401,चाब,,bite,,,,,,,
402,चाब्ब,,bite,,,,,,,
403,चाब्ब्ले,,bit,,,,,,,
404,चाब्चे,,biting,,,,,,,
405,चड,,more; climb up,,,,,,,
406,चाक्रि,,service,,,,,,,
407,चाळ्चे,,"saute, to sieve",,,,,,,
408,दाई/दव्लो,,stirring spoon,,,,,,,
409,चान्नी,,squirrel,,,,,,,
410,चारि,,four,,,,,,,
411,"चाटि, चाबुक",,whip,,,,,,,
412,चातुर्काई,,smartness,,,,,,,
413,चातुर्य,,smartness,,,,,,,
414,चाव्डि,,place for people to sit and chat; seatout,,,,,,,
415,चाब्बई/अंटसाई,,stick (onto something),,,,,,,
416,चड.,,climb,,,,,,,
417,चादर,,shawl / blanket,,,,,,,
418,चड्डि,,underwear / shorts; shorts,,,,,,,
419,चड्तावतं,,extra,,,,,,,
420,चड्तेंची,,more,,,,,,,
421,चक्र,,wheel,,,,,,,
422,चलासुचे,,leading / taking forward,,,,,,,
423,चेर्डु,,child,,,,,,,
424,चल्लो/चेल्लो,,boy,,,,,,,
425,चाळोचे,,to make fun,,,,,,,
426,चम्कं,,walk,,,,,,,
427,चमत्कारू,,miracle,,,,,,,
428,चॅम्चे,,spoon,,,,,,,
429,चाम्कोळू,,wart,,,,,,,
430,चम्कुचे,,walking,,,,,,,
431,चन्द्रु,,moon,,,,,,,
432,फाल्फाल्यारी,,dawn,,,,,,,
433,चणो,,bengal gram,,,,,,,
434,चॅप्पे,Chappen; chappen,"tasteless/without salt; salt-less/ sugar-less; less spicy hot; bland; salt-less, sugar-less, bland",,,,,,,
435,चर्डु,,baby,,,,,,,
436,चर्दु,,child,,,,,,,
437,चेर्डुंवं,,children,,,,,,,
438,चर्म,,skin,,,,,,,
439,चार्मुरो,,puffed rice,,,,,,,
440,चर्नु वोचे,,crawling,,,,,,,
441,चर्र्म,,skin,,,,,,,
442,चॅट्टे,,flat,,,,,,,
443,चतुर,,smart,,,,,,,
444,चौक,,square,,,,,,,
445,चौकट्टु,,frame,,,,,,,
446,चेंडु,,ball,,,,,,,
447,चेड्डि,,shorts,,,,,,,
448,चॅडे,,many servents,,,,,,,
449,चेडु,,servant (lady),,,,,,,
450,चेल्लि,,"maiden, girl; girl",,,,,,,
451,"चेल्लो, चॅल्लो",,boy,,,,,,,
452,चेम्चे,,spoon,,,,,,,
453,चेप्पे,,tasteless,,,,,,,
454,चेर्डुंव,,children,,,,,,,
455,चेर्डुव,,children,,,,,,,
456,चर्वी,,copper vessel,,,,,,,
457,चिंचाम्ब,,tamrind,,,,,,,
458,चिंचारो,,tamrind seed,,,,,,,
459,चिंता,,worry,,,,,,,
460,चीब्बडं,,sweet melon,,,,,,,
461,चींच,,tamrind fruit,,,,,,,
462,चील,,bag,,,,,,,
463,चीप,,spatula made up of coconut shell and bamboo stick,,,,,,,
464,चिक्के,,little; slight,,,,,,,
465,चिक्कोलु,,dirt,,,,,,,
466,चिकोलु,,dirt,,,,,,,
467,चिल्को,,latch,,,,,,,
468,चिल्लरे,,change; change (of money),,,,,,,
469,चिम्णेतॅलं,,kerosene oil,,,,,,,
470,चिम्णी,,kerosene lamp,,,,,,,
471,चिम्ति,,pliers,,,,,,,
472,चिम्टि,,pinch,,,,,,,
473,चिम्टो,,tongs,,,,,,,
474,चिम्टो काड्चो,,pinching,,,,,,,
475,चिम्टो काडि,,pinch,,,,,,,
476,चिंचांब,,tamarind,,,,,,,
477,चिन्ता,,worry,,,,,,,
478,चिन्तन,,"thought process, contemplation",,,,,,,
479,खुब्बाॅ,,shell (of mussel or oysters etc),,,,,,,
480,चित्र,,picture,,,,,,,
481,चिवंचे,,sucking,,,,,,,
482,चोंची,,beak; a coconut based spicy curry garnished with garlic,,,,,,,
483,चोड्चे,,board / climb; climbing,,,,,,,
484,चाॅगो,,shirt,,,,,,,
485,चोक्कारो,,fussy in eating,,,,,,,
486,चोळी,,blouse,,,,,,,
487,चोळ्को,,piece of banana leaf,,,,,,,
488,चोरु,,thief,,,,,,,
489,चूssरू,,pieces / little,,,,,,,
490,चोट्टो,,limp; lame,,,,,,,
491,चेट्टी,,getting the size redused by falling of a heavy object,,,,,,,
492,चेट्नी,,sause,,,,,,,
493,चुचुंदरि,,little rats,,,,,,,
494,चुन्नो,,chalk,,,,,,,
495,चूकि,,fault,,,,,,,
496,चूप,,sharp,,,,,,,
497,"दंपार, दन्पार",,afternoon,,,,,,,
498,दंपारा,,afternoon,,,,,,,
499,दांत/दांतू,,teeth,,,,,,,
500,दांते,,noodle making instrument; stone grinder,,,,,,,
501,दंतु,,tooth,,,,,,,
502,दांतू,,teeth,,,,,,,
503,द.पार,,afternoon,,,,,,,
504,दॅंव,,get down,,,,,,,
505,दांत,,tooth,,,,,,,
506,दांत घसुचे,,brush ones teeth,,,,,,,
507,दांतुणी,,comb,,,,,,,
508,दांतु,,tooth,,,,,,,
509,दांतुणि,,comb,,,,,,,
510,खाडं,,beard,,,,,,,
511,दाकै,,show,,,,,,,
512,दाकैता,,show,,,,,,,
513,दाक्षिण्य,,hesitation,,,,,,,
514,दाळीताॅय,,boiled lentil with moderate spice; lentil soup,,,,,,,
515,जाल्ले,,completed,,,,,,,
516,दांट्वई,,cross over,,,,,,,
517,दार्लो,,man (just like woman),,,,,,,
518,दारु,,cord,,,,,,,
519,दाट,,thick,,,,,,,
520,काळो,,dark (like dark colour); dark,,,,,,,
521,डावे,,left,,,,,,,
522,दायि,,serving spoon,,,,,,,
523,डब्बि,,piggy bank,,,,,,,
524,डब्बो,,big container; box,,,,,,,
525,दाब्बोणू,,iron needle used to stitch jute sacks,,,,,,,
526,दॅणे,,dowry,,,,,,,
527,दैत्यु,,demon,,,,,,,
528,दक्षिणा,,money paid to the priest with respect,,,,,,,
529,दळ्चे,,dry grind by hand mill,,,,,,,
530,खरखरीची,,rough,,,,,,,
531,दर्शन,,view of God or holy men; view of a human with God within him,,,,,,,
532,दशा,,condition,,,,,,,
533,दस्कत/सही,,signature,,,,,,,
534,दौलो,,laddle,,,,,,,
535,दवोर्चे/दवर्चे,,keeping,,,,,,,
536,दवरि,,keep,,,,,,,
537,दाव्लं,,hand; palm,,,,,,,
538,दव्लो,,mixing spoon,,,,,,,
539,वणती,,wall,,,,,,,
540,दया,,pity,,,,,,,
541,ढेंकू,,belch,,,,,,,
542,देंटु,,Stalk,,,,,,,
543,देढ,,one and half,,,,,,,
544,देडु,,one and a half,,,,,,,
545,देह,,body,,,,,,,
546,देन्टु,,leaf stem,,,,,,,
547,देरु,,husbands younger brother,,,,,,,
548,देश,,country,,,,,,,
549,देवंचे,,get down,,,,,,,
550,देवा,,god,,,,,,,
551,देवाकूड,,prayer room,,,,,,,
552,देवस्थान,,temple,,,,,,,
553,दॅवळं,,temple,,,,,,,
554,देव्ळांतू,,in the temple,,,,,,,
555,देवळाकं,,to the temple,,,,,,,
556,देवळतुकुनू,,from the temple,,,,,,,
557,देवु,,God; god,,,,,,,
558,धांक्णें,,lid,,,,,,,
559,धांक्णी,,lid,,,,,,,
560,धांवं,,run,,,,,,,
561,धंय,,pulses,,,,,,,
562,धा,,ten,,,,,,,
563,धांक्णे,,cork,,,,,,,
564,धांव,,run,,,,,,,
565,धांव्चे,,running,,,,,,,
566,धाड्डाई,,crush,,,,,,,
567,धान्य,,lentils,,,,,,,
568,धार,,milking,,,,,,,
569,चूपsची,,Sharp,,,,,,,
570,धार काड्चे,,milking (cow or goat etc),,,,,,,
571,धार ओत्तुनु दिव्चे,,ka.nyaadaan (father giving the girl away in marriage),,,,,,,
572,धारेमणी,,chain with black beads and two corals,,,,,,,
573,धंयं,,yogurt,,,,,,,
574,धाड्डाचे,,to crush,,,,,,,
575,धैं,,yoghurt,,,,,,,
576,धैर्य,,brave; courage,,,,,,,
577,धैयं,,curd,,,,,,,
578,धाक्लो,,younger,,,,,,,
579,धन,,"money, wealth",,,,,,,
580,धांकणं,,close ( the lid ); lid,,,,,,,
581,धन्यवादु,,thanks,,,,,,,
582,धरि,,catch,,,,,,,
583,धर्म,,religion,,,,,,,
584,धर्मु,,religion,,,,,,,
585,धवे,,white,,,,,,,
586,धवें,,white,,,,,,,
587,धयं,,curd,,,,,,,
588,धेड्डो,,bridegrooms younger brother,,,,,,,
589,ढोंगि,,fraudulent / deceitful,,,,,,,
590,धोर्चे,,holding or catching,,,,,,,
591,धोरोचे,,cheating,,,,,,,
592,धुव्डी,,niece (brothers daughter),,,,,,,
593,धूळि,,dust,,,,,,,
594,धूलि,,dust,,,,,,,
595,धूव,,daughter,,,,,,,
596,धूयि,,wash,,,,,,,
597,हात धुवचे आयदन,,basin,,,,,,,
598,धुव्वोरू; धुवरू / धुव्वोरू,dhuvaru,smoke; Smoke,,,,,,,
599,ध्यान,,attempt; meditation,,,,,,,
600,ध्यासू,,attention,,,,,,,
601,दि,,give,,,,,,,
602,दी,,give,,,,,,,
603,दीग,,tall; long,,,,,,,
604,दीगु,,tall,,,,,,,
605,दीकु,,Latex,,,,,,,
606,दीस,,day; visible; see,,,,,,,
607,दीवि दुड्डु,,amount (payable),,,,,,,
608,त्या दिक्कान,,across,,,,,,,
609,दिम्बि,,knee,,,,,,,
610,दीस्सना,,"not visible, can'nt see",,,,,,,
611,दिशा,,direction,,,,,,,
612,दिस्ले,,saw,,,,,,,
613,दित्ता,,will give; take,,,,,,,
614,दिवस,,day,,,,,,,
615,दिवसु,,day,,,,,,,
616,दिव्चे,,giving,,,,,,,
617,दिव्लि,,lamp; big lamp,,,,,,,
618,दिवोडु,,snake,,,,,,,
619,जिव्शी मारचें,,killing/murder,,,,,,,
620,"दिव्सु, दिवसू",,day,,,,,,,
621,दिवूनाक्का/दिव्नाक्का,,dont give,,,,,,,
622,दिव्वो,,lamp,,,,,,,
